iter	Passed	Remaining
177	584	2700
178	586	2691
179	588	2682
180	591	2674
181	592	2665
182	594	2655
183	596	2646
184	598	2637
185	600	2628
186	605	2631
187	607	2622
188	609	2613
189	611	2604
190	612	2596
191	614	2587
192	616	2578
193	621	2582
194	623	2574
195	625	2565
196	627	2557
197	629	2549
198	631	2540
199	633	2534
200	635	2527
201	637	2518
202	639	2510
203	641	2502
204	643	2494
205	645	2486
206	647	2478
207	649	2473
208	651	2466
209	653	2458
210	655	2451
211	657	2444
212	659	2437
213	661	2430
214	664	2425
215	666	2419
216	668	2412
217	670	2406
218	672	2399
219	674	2392
220	676	2386
221	680	2383
222	681	2375
223	683	2369
224	685	2362
225	687	2355
226	689	2348
227	691	2342
228	694	2337
229	696	2331
230	698	2325
231	700	2319
232	702	2312
233	704	2306
234	706	2299
235	709	2296
236	711	2290
237	713	2284
238	715	2278
239	717	2271
240	719	2265
241	721	2258
242	724	2257
243	726	2251
244	728	2245
245	730	2239
246	732	2233
247	734	2227
248	739	2231
249	742	2228
250	744	2222
251	746	2216
252	748	2210
253	750	2204
254	752	2199
255	755	2195
256	757	2189
257	759	2183
258	761	2178
259	764	2176
260	769	2179
261	772	2175
262	774	2171
263	777	2166
264	779	2162
265	783	2162
266	786	2159
267	798	2179
268	800	2175
269	805	2178
270	817	2198
271	820	2194
272	822	2191
273	825	2186
274	827	2182
275	833	2186
276	838	2188
277	841	2186
278	844	2183
279	848	2180
280	856	2191
281	859	2188
282	870	2206
283	873	2202
284	876	2198
285	880	2197
286	883	2194
287	886	2190
288	888	2186
289	891	2182
290	894	2178
291	911	2209
292	914	2207
293	917	2203
294	920	2199
295	922	2194
296	925	2190
297	928	2187
298	931	2183
299	933	2179
300	936	2174
301	963	2227
302	966	2222
303	969	2219
304	972	2215
305	976	2214
306	979	2210
307	981	2205
308	984	2200
309	986	2196
310	989	2191
311	992	2189
312	995	2184
313	1013	2215
314	1018	2215
315	1026	2221
316	1028	2216
317	1031	2213
318	1034	2207
319	1037	2205
320	1040	2201
321	1042	2195
322	1045	2190
323	1047	2186
324	1050	2181
325	1054	2179
326	1057	2175
327	1059	2170
328	1061	2164
329	1069	2171
330	1072	2167
331	1075	2163
332	1077	2157
333	1079	2152
334	1084	2153
335	1089	2152
336	1092	2148
337	1094	2144
338	1098	2142
339	1102	2139
340	1105	2135
341	1107	2131
342	1110	2126
343	1113	2123
344	1116	2119
345	1119	2115
346	1121	2111
347	1124	2105
348	1128	2105
349	1133	2105
350	1135	2100
351	1139	2097
352	1142	2093
353	1148	2095
354	1151	2092
355	1154	2087
356	1160	2090
357	1167	2093
358	1171	2090
359	1173	2086
360	1176	2083
361	1180	2080
362	1183	2076
363	1186	2073
364	1189	2069
365	1191	2064
366	1194	2060
367	1196	2055
368	1198	2050
369	1201	2045
370	1204	2041
371	1207	2037
372	1209	2033
373	1212	2029
374	1215	2025
375	1217	2020
376	1220	2016
377	1222	2011
378	1224	2006
379	1227	2002
380	1229	1998
381	1233	1995
382	1237	1992
383	1239	1988
384	1242	1985
385	1246	1982
386	1252	1983
387	1255	1980
388	1258	1976
389	1260	1971
390	1262	1967
391	1265	1962
392	1268	1959
393	1270	1954
394	1272	1949
395	1274	1944
396	1276	1938
397	1278	1933
398	1280	1928
399	1282	1923
400	1284	1918
401	1286	1913
402	1288	1908
403	1290	1903
404	1292	1898
405	1293	1892
406	1295	1888
407	1298	1883
408	1300	1879
409	1302	1874
410	1304	1869
411	1306	1864
412	1308	1859
413	1310	1855
414	1312	1850
415	1314	1845
416	1317	1841
417	1319	1836
418	1321	1832
419	1323	1827
420	1325	1823
421	1327	1818
422	1329	1813
423	1331	1809
424	1333	1804
425	1336	1800
426	1338	1795
427	1340	1791
428	1342	1786
429	1345	1782
430	1346	1778
431	1348	1773
432	1350	1768
433	1352	1764
434	1354	1759
435	1357	1756
436	1359	1752
